URL,Size(byte),# of Outlinks,Content Type
https://www.latimes.com/opinion/hwexky4zmhe-123,235178,188,text/html
https://www.latimes.com/espanol/opinion/articulo/2024-01-29/oppenheimer-espanol-la-leccion-de-ecuador-no-pactar-con-los-narcos,248552,111,text/html
https://www.latimes.com/california/story/2024-02-08/california-lawmakers-call-for-state-action-on-dangerous-and-illegal-farmworker-conditions,318455,220,text/html
https://www.latimes.com/bestcovery/,92316,58,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-15/prince-royce-desnuda-sus-noches-de-reflexion-aceptacion-y-sanacion-en-su-nueva-produccion-llamada-perdida,240052,109,text/html
https://www.latimes.com/topic/home-design,387862,222,text/html
https://www.latimes.com/archives/la-xpm-2007-jul-12-wk-cover12-story.html,319274,211,text/html
https://www.latimes.com/about/public-affairs,308044,197,text/html
https://www.latimes.com/entertainment-arts/movies,389202,231,text/html
https://www.latimes.com/california/story/2024-02-13/california-senate-candidates-grilled-in-second-debate-asked-if-biden-and-trump-are-too-old,338322,229,text/html
https://www.latimes.com/espanol/internacional/articulo/2024-02-13/israel-y-hamas-avanzan-en-negociaciones-sobre-alto-el-fuego-y-rehenes,245918,110,text/html
https://www.latimes.com/bestcovery/tech,145692,69,text/html
https://www.latimes.com/topic/hero-complex,399914,238,text/html
https://www.latimes.com/opinion/story/2024-02-13/colleges-testing-act-sat-dartmouth,338923,242,text/html
https://www.latimes.com/vegasguide/story/2023-10-19/lido-shuffle-the-showgirl-show-may-be-history-but-the-signage-shines-bright-at-the-neon-museum,266111,195,text/html
https://www.latimes.com/espanol/california,326142,129,text/html
https://www.latimes.com/sports/sparks,393310,228,text/html
https://www.latimes.com/compare-deals,213340,195,text/html
https://www.latimes.com/sports/dodgers/story/2024-02-13/mookie-betts-dodgers-cares-struggles-playoffs,334871,229,text/html
https://www.latimes.com/california/story/2024-02-15/column-older-drivers-reveal-strategies-for-passing-that-ridiculous-california-dmv-renewal-test,327474,223,text/html
https://www.latimes.com/science/story/2023-12-12/more-emojis-are-needed-to-address-the-biodiversity-crisis-scientists-say,352658,240,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-01-08/lo-que-hay-que-saber-sobre-los-cambios-en-el-formulario-fafsa-este-ano-para-alumnos-universitarios,251372,109,text/html
https://www.latimes.com/b2bpublishing/business-announcements/story/2023-05-24/pet-insurance-shouldnt-break-the-bank-and-petcubes-emergency-fund-is-here-to-help,262050,196,text/html
https://www.latimes.com/california/story/2019-10-15/prop-187-this-is-california-battle-podcast,364181,253,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-02-12/oscars-2024-predictions-oppenheimer-barbie-holdovers,467933,288,text/html
https://www.latimes.com/bestcovery/terms-use,92452,25,text/html
https://www.latimes.com/espanol/internacional/articulo/2024-02-12/nuevo-caso-de-gripe-aviar-en-camboya-hermano-de-nino-que-murio-del-virus,243003,112,text/html
https://www.latimes.com/california/story/2024-02-09/l-a-should-pay-6-3-million-for-foot-dragging-agreement-to-clean-homeless-camps-a-federal-judge-is-told,333370,223,text/html
https://www.latimes.com/travel/list/san-pedro-neighborhood-guide-things-to-do,515084,274,text/html
https://www.latimes.com/environment/story/2024-02-11/should-pinyon-juniper-forests-be-turned-into-biofuel,364520,218,text/html
https://www.latimes.com/entertainment-arts/business/story/2023-07-16/sag-aftra-strike-actors-writers-strike-hollywood-production-film-tv-disruption-fall-season,380682,240,text/html
https://www.latimes.com/environment/story/2024-02-12/californias-war-on-plastic-bag-use-seems-to-have-backfired,343507,218,text/html
https://www.latimes.com/california/story/2024-02-01/2024-california-election-lausd-district-3-primary-voter-guide,441139,248,text/html
https://www.latimes.com/topic/editorials,386467,222,text/html
https://www.latimes.com/homeless-housing/story/2024-02-12/help-for-more-homeowners-behind-on-their-mortgage-payments,343280,233,text/html
https://www.latimes.com/entertainment-arts/tv/story/2024-01-11/2024-emmy-awards-emmys-75-golden-age-peak-tv-netflix-hbo,365426,244,text/html
https://www.latimes.com/bestcovery/best-office-chairs,118280,56,text/html
https://www.latimes.com/opinion/story/2019-11-07/proposition-187-immigration-family-separation,315699,214,text/html
https://www.latimes.com/espanol/entretenimiento,326412,133,text/html
https://www.latimes.com/opinion/story/2021-10-23/vietnam-refugee-afghanistan-war-hear-me-out,304725,214,text/html
https://www.latimes.com/california/story/2024-02-08/a-nearly-17-year-long-battle-over-california-medical-marijuana-dispensary-draws-to-an-end,336505,221,text/html
https://www.latimes.com/specialsupplements/story/2023-11-05/a-canon-explorer-of-light-views-severe-storms-through-a-unique-lends-and-an-advanced-camera,316219,197,text/html
https://www.latimes.com/espanol/california/articulo/2024-02-14/dos-millones-de-peticiones-de-asilo-retrasadas-entre-agencias-de-inmigracion,259234,118,text/html
